objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll036,img20210208_17104298.jpg,,,Wedding Picture 36,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll037,img20210208_17104308.jpg,,,Wedding Picture 37,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll038,img20210208_17104314.jpg,,,Wedding Picture 38,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll039,img20210208_17140937.jpg,,,Wedding Picture 39,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll040,img20210208_17140946.jpg,,,Wedding Picture 40,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll041,img20210208_17213801.jpg,,,Wedding Picture 41,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll042,img20210208_17261956.jpg,,,Wedding Picture 42,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll043,img20210208_17261964.jpg,,,Wedding Picture 43,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll044,img20210208_17261973.jpg,,,Wedding Picture 44,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll045,img20210208_17261981.jpg,,,Wedding Picture 45,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll046,img20210208_17305272.jpg,,,Wedding Picture 46,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll047,img20210208_17305278.jpg,,,Wedding Picture 47,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll048,img20210208_17354965.jpg,,,Wedding Picture 48,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll049,img20210208_17354976.jpg,,,Wedding Picture 49,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll050,img20210208_17415442.jpg,,,Wedding Picture 50,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll051,img20210208_17415449.jpg,,,Wedding Picture 51,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll052,img20210208_17415456.jpg,,,Wedding Picture 52,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll053,img20210208_17415463.jpg,,,Wedding Picture 53,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll054,img20210208_17490325.jpg,,,Wedding Picture 54,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
coll055,img20210208_17492208.jpg,,,Wedding Picture 55,Paul Jason Perez,06/06/1982,Wedding of Lucio Petario Perez and Violeta Dionco Visaya,Lucio Perez; Violeta Perez; Wedding,"Angono, Rizal, Philippines","14.523904137203816,",121.1485437,Perez Archives,,Image;StillImage,image/jpeg,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/
